id,numero,tipo,nivel,grupo,texto,opciones,normaDefault,correccionDefault,seccion,orden
REQ_041,,,,Requisitos complementarios,4. En el caso edificaciones declaradas en propiedad horizontal se requerirá la autorización de al menos el 75% de los copropietarios.,,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,17
REQ_042,,,,Requisitos complementarios,"5. En proyectos hoteleros y de servicios turísticos, Certificado de calificación hotelera por parte del Ministerio de Turismo.",,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,18
OM_PTA_T01,1.,TITULO,1,1. Planos,"Planos en formato A1 o A0 según normas INEN, y archivo digital con lo siguiente:",,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,1
OM_PTA_011,1.1.,REQUISITO,2,1.1. Ubicación,"Ubicación que debe abarcar una zona de 300 m. de radio, con su correcta orientación y nombres de calles, esta ubicación deberá ser georreferenciada, en la que se identifique claramente el predio donde se implantará el proyecto (Sin escala);",Cumple|No Cumple,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,2
OM_PTA_012,1.2.,REQUISITO,2,1.2. Levantamiento planimétrico y/o topográfico,"Levantamiento planimétrico y/o topográfico georreferenciado del terreno en el sistema de coordenadas oficial UTM, WGS 84, zona 17, latitud Sur, en el que se indiquen de ser el caso las construcciones existentes, líneas de alta tensión, acequias, canales de riego y quebradas, con sus respectivos márgenes de protección, en el que se hará constar las dimensiones de los linderos. En el caso de construcciones adosadas se deberá identificar el nivel natural del terreno.",Cumple|No Cumple,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,3
OM_PTA_013,1.3.,REQUISITO,2,1.3. Plano de Implantación,"Plano de Implantación en el que anotará claramente las medidas, los ángulos del terreno, retiros, afectaciones, el nivel altura de los colindantes y eje vial.",Cumple|No Cumple,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,4
OM_PTA_S14,1.4.,SUBTITULO,2,1.4. Plantas,Plantas:,,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,5
OM_PTA_141,1.4.1.,REQUISITO,3,1.4.1. Plantas,"Deberán ser dimensionadas al exterior, haciendo constar las medidas parciales y totales de los locales, espesores de muros, apertura de puertas y ventanas. Se tomará como cota de referencia la del nivel de la acera.",Cumple|No Cumple,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,6
OM_PTA_142,1.4.2.,REQUISITO,3,1.4.2. Plantas,"Si existe la imposibilidad de dimensionar las medidas interiores hacia las cotas exteriores del dibujo, se lo hará de acuerdo a las particularidades del proyecto hacia el interior del mismo. (Patios de iluminación y ventilación)",Cumple|No Cumple,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,7
OM_PTA_143,1.4.3.,REQUISITO,3,1.4.3. Cubierta inclinada,En la planta de cubierta inclinada se indicarán las pendientes expresadas en porcentaje.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,8
OM_PTA_144,1.4.4.,REQUISITO,3,1.4.4. Plantas,Dentro de cada local se identificará su designación y se colocará cotas de nivel en los sitios que fueran necesarios para la comprensión del proyecto.,Cumple|No Cumple,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,9
OM_PTA_S15,1.5.,SUBTITULO,2,1.5. Cortes,Cortes:,,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,10
OM_PTA_151,1.5.1.,REQUISITO,3,1.5.1. Cortes,"Serán presentados en la misma escala adoptada para las plantas y en número necesario para la claridad del proyecto, mínimo dos: uno en cada sentido y por lo menos uno deberá contemplar el desarrollo de una grada si la hubiera.",Cumple|No Cumple,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,11
OM_PTA_152,1.5.2.,REQUISITO,3,1.5.2. Cortes,"Deberán estar dimensionados e identificarán los niveles de cada una de las plantas, así como el nivel actual del terreno.",Cumple|No Cumple,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,12
OM_PTA_S16,1.6.,SUBTITULO,2,1.6. Fachadas,Fachadas:,,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,13
OM_PTA_161,1.6.1.,REQUISITO,3,1.6.1. Fachadas,Deberán representarse todas las fachadas del edificio o edificios en la misma escala adoptada para las plantas y cortes.,Cumple|No Cumple,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,14
OM_PTA_017,1.7.,REQUISITO,2,1.7. Cuadro de Datos,"Cuadro de Datos que contenga: área total del predio, área de afectación, área de construcción, unidades de edificación por uso, áreas computables y no computables, áreas abiertas y cerradas, COS PB y COS total, según formato establecido.",Cumple|No Cumple,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,15
OM_PTA_018,1.8.,REQUISITO,2,1.8. Propiedad horizontal,"En caso que la edificación se proyecte declarar bajo régimen de propiedad horizontal, el cuadro que incluirá: área comunal, área verde y equipamientos",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,16
OM_PTA_S19,1.9.,SUBTITULO,2,1.9. Planos estructurales,Planos estructurales en proyectos de edificación de más de dos pisos o 400 m2 de área bruta:,,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,17
OM_PTA_191,1.9.1.,REQUISITO,3,1.9.1. Planos estructurales,"Deberán representar el diseño de la estructura del edificio, el armado de sus elementos, detalles y especificaciones, debidamente acotados. Se acompañará de Estudios de Suelo y Memoria de Cálculo Estructural y observará las disposiciones de las NEC.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,18
OM_PTA_110,1.10.,REQUISITO,2,1.10. Ampliación o modificación,"Para los proyectos de ampliación o modificación a construcciones existentes, se presentarán planos de las secciones nuevas y de las escalas en la edificación, a fin de verificar las condiciones de seguridad. Se identificará de la siguiente manera: Demoliciones: color amarillo; Construcción nueva: color rojo; Construcción sin demoler: color negro.",Cumple|No Cumple,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,19
OM_PTA_002,2.,REQUISITO,1,2. Memoria Fotográfica,"Memoria Fotográfica: contendrá fotografías donde se debe apreciar la vista frontal, el entorno, los accesos, obras instaladas y colindantes del lote a edificar; cada una de las fotografías deberá contener la descripción de lo mostrado. (deberá ser presentada en una hoja formato A4 y en formato digital).",Cumple|No Cumple,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,20
OM_PTA_003,3.,REQUISITO,1,3. Memoria Técnica,Memoria Técnica,Cumple|No Cumple,"Ordenanza No. 016-2023, Artículo 95. Contenido del Proyecto Técnico de Edificación de Obras Mayores.",,PROPUESTA_ARQUITECTONICA,21
